movie#,title,year,synopsis,critic_score,people_score,consensus,type,genre,director,producer,writer,theater_release,streaming_release,box_office_gross($M),production_co,score_differential
1470,Afghan Star,2009,"Director Havana Marking dives into the booming, but still young and growing, world of pop culture in Afghanistan. Newly liberated after more than 30 years of stifling Taliban rule, the country is taken with a fervor for expression. This documentary follows four contestants, including two women, as they audition, sing and compete in a countrywide ""American Idol""-type competition called ""Pop Idol."" Marking uncovers a wonderfully vibrant community, which is also surprisingly accepting.",100.0,77.0,An enlightening and sobering documentary on Afghanistan's very own X-Factor.,Television,documentary,Havana Marking,,,"Jun 26, 2009 limited","Nov 18, 2016",0.1015,Roast Beef Productions,23.0
1471,Room 237,2012,"Filmmaker Rodney Ascher analyzes Stanley Kubrick's film adaptation of Stephen King's classic horror novel ""The Shining.""",94.0,55.0,"Mysterious and provocative, Room 237 is a fascinating journey into the world of obsessive cinephilles.",Television,documentary,Rodney Ascher,Tim Kirk,,"Mar 29, 2013 limited","Nov 1, 2016",0.25980000000000003,Highland Park Classics,39.0
1473,A Film Unfinished,2009,"Israeli director Yael Hersonski examines a recently found film reel from an unfinished Nazi movie entitled ""Das Ghetto"" in this award-winning documentary. For decades, historians have relied on ""Das Ghetto"" as a portrayal of life in occupied Warsaw and this new footage provides rare insights into one of the biggest propaganda machines of all time. Hersonski uses personal journals and accounts as well as an interview with a surviving cameraman to re-examine this dark cinematic relic.",97.0,86.0,"A heartbreaking, haunting historical document, A Film Unfinished excavates particularly horrible chapter of Holocaust history, and in doing so, the film provides a glimpse into the Nazi propaganda machine.",Television,documentary,Yael Hersonski,"Itai Ken-Tor, Noemi Schory",Yael Hersonski,,"Aug 10, 2016",0.3115,,11.0
1474,The Return,2003,"Andrey (Vladimir Garin) and Ivan (Ivan Dobronravov) are brothers who have been raised alone by their mother. When their father (Konstantin Lavronenko) suddenly returns home after vanishing some 12 years earlier, they are both extremely happy to see him back in their lives. Ivan, however, quickly grows suspicious of his father, and determines to find out where exactly his father vanished to all those years ago, and why he suddenly decided to come back into their lives now.",96.0,93.0,A suspenseful but perplexing thriller.,Television,drama,Andrei Zvyagintsev,Dmitri Lesnevsky,"Vladimir Moiseyenko, Aleksandr Novototskiy",,"Feb 8, 2017",0.502,"Ren Film, United King Films",3.0
1476,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2008,"As Australian cinema broke through to international audiences in the 1970s through respected art house films like Peter Weir's ""Picnic At Hanging Rock,"" a new underground of low-budget exploitation filmmakers were turning out considerably less highbrow fare. Documentary filmmaker Mark Hartley explores this unbridled era of sex and violence, complete with clips from some of the scene's most outrageous flicks and interviews with the renegade filmmakers themselves.",95.0,80.0,"A raucous, fast-paced celebration of the Ozploitation films that came out of Australia in the 1970s and 1980s.",Television,documentary,Mark Hartley,,Mark Hartley,"Jul 31, 2009 limited","May 8, 2012",0.0194,,15.0
1477,Being Elmo: A Puppeteer's Journey,2011,"Interviews with Frank Oz, Rosie O'Donnell, Whoopi Goldberg and others highlight a portrait of Kevin Clash, the man who brings ""Sesame Street"" muppet Elmo to life.",95.0,87.0,,Television,documentary,Constance Marks,"Constance Marks, Corinne LaPook, James J. Miller","Philip Shane, Justin Weinstein","Oct 21, 2011 limited","Dec 5, 2016",0.30410000000000004,,8.0
1479,Lost in La Mancha,2002,"Visionary director Terry Gilliam has a dream. He wants to film the classic story of Don Quixote by recasting it as a trippy, time-traveling, mistaken-identity adventure with Johnny Depp as Quixote. After struggling for years to get financing, insurance and a cast in place, Gilliam travels to Spain and promptly watches his dream fall apart. From flash floods to cast no-shows to serious injuries, Gilliam and his crew suffer one setback after another.",94.0,77.0,"A remarkable behind-the-scenes look at a movie that wasn't, Lost in La Mancha is an incisive, entertaining document of the difficulties inherent in the moviemaking process.",Television,documentary,"Keith Fulton, Louis Pepe",Lucy Darwin,,,"Apr 4, 2017",0.7316,,17.0
1481,Sing Your Song,2011,"Harry Belafonte rises to fame, becoming an acclaimed singer and actor, and working tenaciously throughout his career as a social activist.",95.0,79.0,Sing Your Song takes an absorbing -- if decidedly non-critical -- look at an incredible show business career and admirable public life.,Television,"music, documentary, biography",Susanne Rostock,"Gina Belafonte, Jim Brown, Michael Cohl, William Eigen, Julius R. Nasso",,"Jan 13, 2012 limited","Feb 15, 2017",0.047700000000000006,,16.0
1482,American Movie,1999,"In this cult-favorite documentary, Mark Borchardt, an aspiring filmmaker from a working-class Wisconsin background, is set on finishing his low-budget horror movie, despite a barrage of difficulties. Plagued by lack of cash, unreliable help and numerous personal problems, Mark wants to complete the film to raise funds for a more ambitious drama. With the assistance of his bumbling but loyal friend Mike Schank, Mark struggles to move forward, making for plenty of bittersweet moments.",94.0,90.0,"Well worth watching for film buffs and anyone who believes in following your dreams, American Movie is a warm, funny, and engrossing ode to creative passion.",Television,documentary,Chris Smith,"Sarah Price, Chris Smith",,"Nov 5, 1999 wide","Oct 23, 2015",1.2,C-Hundred Film Corp.,4.0
1483,Best Worst Movie,2009,"This documentary reviews the making of the film ""Troll 2"" from the perspective of its former child actor star, Michael Stephenson. In 1989, a group of actors and an Italian production crew join forces to produce a slice of unwitting cinematic history. Stephenson and those involved with the ill-fated sequel tell the story of Italian director Claudio Fragasso's B-movie classic, among them the Alabama dentist who became a cult star because of his famous, immortal line.",94.0,84.0,"Good-natured and mirthful, Best Worst Movie is a sweet deconstruction of how a cinematic folly can become a triumph.",Television,documentary,Michael Stephenson,"Mary Francis Groom, Brad Klopman",Michael Stephenson,"Apr 23, 2010 limited","Mar 29, 2017",0.1032,OJO Entertainment,10.0
1485,Side by Side,2012,"Directors James Cameron, David Fincher, Martin Scorsese, Christopher Nolan and others discuss digital technology's impact on filmmaking.",93.0,86.0,"Keanu Reeves proves a groovy guide through this informative exploration of how technology is transforming cinema, with an even-handed defense for both the old and the new.",Television,documentary,Christopher Kenneally,"Keanu Reeves, Justin Szlasa",Christopher Kenneally,"Aug 17, 2012 limited","Aug 10, 2016",0.0286,,7.0
1486,Joan Rivers: A Piece of Work,2010,"This revealing documentary follows the life and career of Joan Rivers, a veteran comedienne arguably more known for her extensive plastic surgery than for her talent. The film explores her early years in the comedy industry and touches on her longtime professional relationship with Johnny Carson, who is one of many celebrities featured, along with George Carlin, Phyllis Diller, Kathy Griffin and Rivers' own daughter and frequent screen partner, Melissa Rivers.",92.0,82.0,"Penetrating Rivers' coarse image, this compelling documentary offers an honest, behind-the-scenes look at her career -- and at show business in general.",Television,"comedy, documentary, biography","Ricki Stern, Annie Sundberg","Ricki Stern, Seth Keal, Annie Sundberg",Ricki Stern,"Jun 11, 2010 limited","Dec 5, 2016",2.9,Break Thru Films,10.0
1487,"Yoo-Hoo, Mrs. Goldberg",2009,"Gertrude Berg rose to prominence in the 1930s as the star of ""The Goldbergs,"" a pioneering radio program and, later, a TV sitcom, which she also created, wrote and produced. Director Aviva Kempner tells the story of this important, overlooked figure in entertainment history, explaining her background -- she arrived in the U.S. as an inexperienced Jewish immigrant -- and interviewing notable figures such as writer/producer Norman Lear and Supreme Court Justice Ruth Bader Ginsberg.",93.0,82.0,"Equal parts edification and entertainment, Kempner's tender tribute to a forgotten pioneer of American entertainment is both richly deserved and long overdue.",Television,documentary,Aviva Kempner,Aviva Kempner,Aviva Kempner,"Jul 10, 2009 limited","Aug 17, 2010",1.1,,11.0
1488,The Kid Stays in the Picture,2002,"Traces the meteoric rise, fall, and rise again of legendary Hollywood producer Robert Evans. Adapted from Mr. Evans's tell-all autobiography, the movie takes the audience on an intimate journey into the mind of this Hollywood legend. ""The Kid Stays in the Picture"" shares gripping anecdotes about Evans's unusual friendships and follows the thread of his tumultuous love life.",91.0,80.0,"Though not objective by any means, The Kid Stays in the Picture is irresistibly entertaining.",Television,documentary,"Nanette Burstein, Brett Morgen","Nanette Burstein, Graydon Carter, Brett Morgen",Brett Morgen,,"Aug 10, 2016",1.4,"Highway Films, Ministry of Propaganda Films",11.0
1492,Saraband,2003,"Following Johan (Erland Josephson) and Marianne (Liv Ullmann) 30 years after the events of ""Scenes from a Marriage,"" this sequel finds the couple long since divorced and remarried. After Johan separates from his second wife, and Marianne loses her second husband, the ex-lovers try to reconnect. Meanwhile, Johan's son, Henrik (Börje Ahlstedt), is having problems of his own with his daughter, Karin (Julia Dufvenius), a cellist whose career plans don't match her father's expectations.",91.0,87.0,"If Saraband appears to be a minor entry in Ingmar Bergman's filmography, it's still an accomplished piece of work from one of cinema's greatest masters.",Television,drama,Ingmar Bergman,,Ingmar Bergman,,"Sep 10, 2015",0.6456000000000001,SVT Fiktion,4.0
1493,Corman's World: Exploits of a Hollywood Rebel,2011,"Jack Nicholson, Martin Scorsese, Robert De Niro, Ron Howard and others pay tribute to legendary independent filmmaker Roger Corman.",92.0,84.0,,Television,documentary,Alex Stapleton,,"Gregory Locklear, Alex Stapleton","Dec 16, 2011 limited","Mar 21, 2017",0.007,,8.0
1494,Doctor Zhivago,1965,"During the Russian Revolution, Yuri Zhivago (Omar Sharif), is a young doctor who has been raised by his aunt and uncle following his father's suicide. Yuri falls in love with beautiful Lara Guishar (Julie Christie), who has been having an affair with her mother's lover, Victor Komarovsky (Rod Steiger), an unscrupulous businessman. Yuri, however, ends up marrying his cousin, Tonya (Geraldine Chaplin). But when he and Lara meet again years later, the spark of love reignites.",84.0,88.0,"It may not be the best of David Lean's epics, but Dr. Zhivago is still brilliantly photographed and sweepingly romantic.",Television,"drama, history, romance, war",David Lean,Carlo Ponti,"Boris Pasternak, Robert Bolt",,"May 19, 2016",0.0871,Metro Goldwyn Mayer,-4.0
1495,The Five Obstructions,2003,"In 1967, experimental filmmaker Jorgen Leth created a striking short film, ""The Perfect Human,"" starring a man and women sitting in a box while a narrator poses questions about their relationship and humanity. Years later, Danish director Lars von Trier made a deal with Leth to remake the film five times, each under a different set of circumstances and with von Trier's strictly prescribed rules. As Leth completes each challenge, von Trier creates ever more elaborate rules for the contest.",89.0,85.0,Both an intriguing intellectual exercise and an amusing look at the contrasts between the two filmmakers.,Television,documentary,"Jørgen Leth, Lars von Trier",,,,"Apr 22, 2014",0.151,,4.0
